feature;length;width;thickness;weight;type;cortex;burned;mod
4658;22;15;3;1,2;flake;cortex;unburned;unmod
4658;18;16;3;0,9;flake;no cortex;unburned;unmod
4658;21;11;5;1,1;other;no cortex;unburned;unmod
4658;24;23;10;7,7;flake;cortex;unburned;mod
4658;36;23;8;5,7;flake;cortex;unburned;unmod
4658;22;18;2;1,6;blade;no cortex;unburned;unmod
4658;38;22;7;4,5;flake;no cortex;unburned;mod
4658;34;20;8;5,5;flake;no cortex;unburned;mod
4658;18;15;5;0,9;flake;no cortex;unburned;unmod
4658;18;16;2;0,5;flake;no cortex;unburned;unmod
4658;29;24;10;4,9;flake;cortex;unburned;unmod
4658;29;27;11;8,2;flake;no cortex;unburned;unmod
4658;28;27;16;14,9;other;no cortex;unburned;mod
4658;24;14;5;1,1;flake;no cortex;unburned;unmod
4658;20;16;4;1,6;flake;no cortex;unburned;unmod
4658;20;11;6;0,8;flake;no cortex;burned;unmod
4740;16;13;5;1;flake;no cortex;unburned;unmod
4740;34;22;18;9,9;other;cortex;unburned;unmod
4740;44;16;8;5,8;blade;no cortex;unburned;unmod
4740;48;14;5;3,6;blade;no cortex;unburned;unmod
4740;18;15;4;1;blade;no cortex;unburned;unmod
4740;16;11;7;1,4;other;cortex;unburned;unmod
4740;25;21;7;3,5;flake;no cortex;unburned;unmod
4740;21;18;5;1,7;flake;no cortex;unburned;unmod
4740;44;42;41;103,6;other;cortex;unburned;mod
4740;50;40;32;93,8;other;cortex;unburned;mod
4740;43;31;8;8,9;flake;no cortex;unburned;unmod
4747;42;22;11;10,2;other;no cortex;unburned;unmod
4747;40;22;6;5,5;blade;no cortex;unburned;unmod
4773;21;13;2;0,9;flake;no cortex;unburned;unmod
4773;24;17;6;2,5;flake;cortex;unburned;unmod
4773;23;19;10;4;other;cortex;unburned;unmod
4773;33;28;7;4,3;flake;cortex;unburned;unmod
4773;16;11;5;1;blade;no cortex;unburned;unmod
4773;35;25;7;6,5;blade;no cortex;unburned;mod
4773;27;17;6;3,1;blade;no cortex;burned;mod
4775;24;20;6;3,1;blade;no cortex;unburned;unmod
4828;38;28;8;7,5;flake;no cortex;unburned;unmod
4829;26;19;4;2,6;blade;no cortex;burned;unmod
4830;32;15;5;2,3;blade;no cortex;unburned;unmod
4878;25;17;4;1,8;blade;no cortex;unburned;unmod
4893;28;16;4;1,4;blade;no cortex;unburned;mod
4893;34;15;5;2,1;blade;no cortex;unburned;mod
4904;NA;NA;NA;NA;other;NA;NA;mod
4904;36;17;6;2,9;blade;no cortex;unburned;mod
4904;29;17;4;2;flake;no cortex;unburned;mod
4913;34;14;4;1,7;blade;no cortex;unburned;mod
4925;17;9;5;0,7;other;cortex;unburned;unmod
4929;27;18;5;1,7;flake;no cortex;unburned;mod
4950;30;17;2;1,1;flake;no cortex;unburned;unmod
4953;16;9;4;0,4;flake;no cortex;burned;unmod
4956;34;18;4;2,2;flake;cortex;unburned;mod
4956;28;17;2;1,2;flake;no cortex;unburned;mod
4963;25;18;4;1,4;flake;no cortex;unburned;mod
4963;26;17;3;1,2;flake;no cortex;unburned;mod
5156;36;18;6;3,2;blade;no cortex;unburned;unmod
5156;57;20;8;6,8;blade;no cortex;unburned;unmod
5156;50;11;4;2,7;blade;no cortex;unburned;unmod
5156;20;19;4;2,3;blade;no cortex;unburned;mod
5156;27;20;6;2,8;flake;cortex;unburned;mod
5156;34;19;6;4;blade;no cortex;burned;unmod
5156;35;27;9;6,8;flake;cortex;unburned;unmod
5156;29;25;7;4,8;blade;no cortex;unburned;unmod
5156;28;15;4;1,7;flake;no cortex;unburned;unmod
5156;13;12;3;0,6;blade;no cortex;unburned;unmod
5156;23;5;3;0,3;blade;no cortex;unburned;unmod
5156;11;8;2;0,1;flake;no cortex;unburned;unmod
5156;60;16;6;5,9;blade;no cortex;unburned;mod
5156;34;17;7;4,1;blade;no cortex;unburned;mod
5160;25;16;4;1,7;flake;no cortex;unburned;unmod
5170;36;24;6;5,5;flake;cortex;unburned;unmod
5170;28;14;6;2;other;no cortex;unburned;unmod
5300;28;18;6;2,5;flake;no cortex;unburned;unmod
5300;17;15;3;0,6;other;no cortex;burned;unmod
5413;58;46;17;37,3;flake;cortex;unburned;unmod
5413;35;18;5;3,4;blade;no cortex;unburned;unmod
5413;30;13;3;1,7;blade;no cortex;unburned;mod
5413;20;15;4;0,9;flake;no cortex;unburned;mod
5413;38;12;3;1,3;blade;no cortex;unburned;unmod
5413;38;21;4;3,3;flake;no cortex;unburned;mod
5413;63;27;6;12,5;blade;no cortex;unburned;unmod
5413;22;13;4;1,2;blade;no cortex;unburned;unmod
5413;66;23;5;7,3;blade;no cortex;unburned;mod
5413;58;21;7;10,3;blade;no cortex;unburned;mod
5602;21;12;6;0,7;other;no cortex;burned;unmod
5614;24;18;5;2,8;blade;no cortex;unburned;unmod
5787;10;9;2;0,2;other;no cortex;burned;unmod
5800;72;19;6;8,9;blade;no cortex;unburned;unmod
5800;43;26;6;6,9;blade;no cortex;unburned;mod
5801;46;24;7;7,1;blade;no cortex;unburned;mod
